,Model,Managment,Discount,Metric,Result
3,RF,Heavy,NoDR,salvage,-585.8827575903448
4,RF,Heavy,NoDR,no_salvage,-535.1827988194218
5,RF,Heavy,NoDR,optimal,-587.6852687418357
0,RF,Heavy,DR1,F,-1.0100744206525594
1,RF,Heavy,DR1,G,0.6926856154310618
2,RF,Heavy,DR1,times,0.6926856154310618
3,RF,Heavy,DR1,salvage,-530.1280274045897
4,RF,Heavy,DR1,no_salvage,-489.86991423437064
5,RF,Heavy,DR1,optimal,-532.4343964894857
0,RF,Heavy,DR3,F,-0.9891965692887
1,RF,Heavy,DR3,G,0.8137966901048547
2,RF,Heavy,DR3,times,0.8137966901048547
3,RF,Heavy,DR3,salvage,-457.70601767794545
4,RF,Heavy,DR3,no_salvage,-432.9600235222756
5,RF,Heavy,DR3,optimal,-461.8794387785607
0,RF,Heavy,DR5,F,-0.7639621350913421
1,RF,Heavy,DR5,G,1.0941065220637383
2,RF,Heavy,DR5,times,1.0941065220637383
3,RF,Heavy,DR5,salvage,-416.41664410842856
4,RF,Heavy,DR5,no_salvage,-402.3331080186413
5,RF,Heavy,DR5,optimal,-423.08217083823075
0,RF,NoMgmt,NoDR,F,-0.5023478571966389
1,RF,NoMgmt,NoDR,G,1.0211400823443502
2,RF,NoMgmt,NoDR,times,1.0211400823443502
3,RF,NoMgmt,NoDR,salvage,-664.8179595441277
4,RF,NoMgmt,NoDR,no_salvage,-607.1462189085192
5,RF,NoMgmt,NoDR,optimal,-666.9146166460447
0,RF,NoMgmt,DR1,F,-0.5193319485253547
1,RF,NoMgmt,DR1,G,1.378264602984635
2,RF,NoMgmt,DR1,times,1.378264602984635
3,RF,NoMgmt,DR1,salvage,-608.9481739476953
4,RF,NoMgmt,DR1,no_salvage,-573.4531423383135
5,RF,NoMgmt,DR1,optimal,-613.7974079508749
0,RF,NoMgmt,DR3,F,-0.25941749760336447
1,RF,NoMgmt,DR3,G,2.984410678247323
2,RF,NoMgmt,DR3,times,2.984410678247323
3,RF,NoMgmt,DR3,salvage,-535.8608458483186
4,RF,NoMgmt,DR3,no_salvage,-531.225650870734
5,RF,NoMgmt,DR3,optimal,-549.0783881173662
0,RF,NoMgmt,DR5,F,-0.11061123043780591
1,RF,NoMgmt,DR5,G,6.486286707151535
2,RF,NoMgmt,DR5,times,2.3475438268144324
3,RF,NoMgmt,DR5,salvage,-493.8077968487549
4,RF,NoMgmt,DR5,no_salvage,-508.45594061054237
5,RF,NoMgmt,DR5,optimal,-516.7645406991455
0,RF,Moderate,NoDR,F,-0.4598081871797727
1,RF,Moderate,NoDR,G,1.0056685133056253
2,RF,Moderate,NoDR,times,1.0056685133056253
3,RF,Moderate,NoDR,salvage,-606.3882232666531
4,RF,Moderate,NoDR,no_salvage,-566.751506391004
5,RF,Moderate,NoDR,optimal,-608.2589372839047
0,RF,Moderate,DR1,F,-0.682924876036182
1,RF,Moderate,DR1,G,1.0173061450819734
2,RF,Moderate,DR1,times,1.0173061450819734
3,RF,Moderate,DR1,salvage,-551.4128233151721
4,RF,Moderate,DR1,no_salvage,-524.0723602975364
